cnpj_produtora,razao,n_obras,fsa_total_mi,inv_total_mi,publico_total,publico_med,renda_total_mi,efic,pct_cinema,pct_intl,admissoes_eu,critica_med,uf,cluster,cluster_label
12.906.549/0001-29,BALAIO PRODUÇÕES CULTURAIS E CINEMATOGRÁFICAS LTDA - ME,2,1.7072074879999999,1.7072074879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,GO,2.0,Baixo retorno / nicho
01.946.155/0001-88,CINÉTICA FILMES E PRODUÇÕES LTDA.,1,1.7090394377309,1.6920247576719,8384.0,8384.0,0.14966031,4955.0102396467055,100.0,0.0,0.0,4.4,RJ,,Emergentes / micro
02.857.394/0001-24,LUNI ÁUDIO E VÍDEO LTDA - ME,2,1.6654523200000002,1.6654523200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,PE,2.0,Baixo retorno / nicho
07.206.747/0001-40,OLHO FILMES PRODUCOES EIRELI - ME,1,1.6354642598766302,1.6354642598766302,136.0,136.0,0.00105625,83.15681567401481,100.0,0.0,0.0,3.683,DF,,Emergentes / micro
05.815.669/0001-55,CASTANHA FILMES E INVENTÁRIOS CULTURAIS LTDA - ME,1,1.6026716159999999,1.6026716159999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,AP,,Emergentes / micro
21.797.177/0001-30,D. M. ZON PRODUCOES CINEMATOGRAFICAS EIRELI - ME,1,1.6010231,1.6010231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,ES,,Emergentes / micro
10.855.589/0001-63,CABONG STUDIOS LTDA,1,1.5917610800000002,1.5917610800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,PR,,Emergentes / micro
20.386.333/0001-08,BOSK CINEMA TV WEB LTDA,1,1.580544,1.580544,79.0,79.0,0.00148455,49.98279073534176,100.0,0.0,0.0,2.835,RJ,,Emergentes / micro
17.935.462/0001-01,DAS MINAS PRODUCOES CINEMATOGRAFICAS LTDA,2,1.5781105753059999,1.5781105753059999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,RJ,2.0,Baixo retorno / nicho
07.567.854/0001-01,OGER SEPOL PRODUÇÃO E COMÉRCIO AUDIOVISUAL LTDA,2,1.57603081591,1.57603081591,286.0,286.0,0.00440758,193.0367187554803,50.0,0.0,0.0,3.6,PR,0.0,Produção para TV/VoD
