k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
the vvitch a new england folktale,The VVitch: A New-England Folktale,0.0,169.0,31.0,0.0,0.0,0.0,,0,1
tigrero a film that was never made,Tigrero: A Film That Was Never Made,0.0,8.0,4.0,0.0,0.0,0.0,,0,1
todos os mortos,Todos os Mortos,0.0,8.0,1.0,0.0,0.0,0.0,,0,1
too late to die young,Too Late to Die Young,0.0,7.0,3.0,0.0,0.0,0.0,,0,1
train station,Train Station,0.0,3.0,1.0,0.0,0.0,0.0,,0,1
trash,Trash,0.0,111.0,30.0,0.0,0.0,0.0,,0,1
tudo isto e fado,Tudo Isto É Fado,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
ultimate beastmaster,Ultimate Beastmaster,0.0,28.0,28.0,0.0,0.0,0.0,,0,1
um animal amarelo,Um Animal Amarelo,0.0,3.0,2.0,0.0,1.0,0.0,,0,2
um crime nobre,Um Crime Nobre,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
um tiro no escuro,Um tiro no escuro,0.0,70.0,23.0,0.0,0.0,0.0,,0,1
una especie de familia,Una especie de familia,0.0,5.0,2.0,0.0,0.0,0.0,,0,1
upon her lips girl power,Upon Her Lips: Girl Power,0.0,6.0,5.0,0.0,0.0,0.0,,0,1
upon her lips pure feels,Upon Her Lips: Pure Feels,0.0,3.0,3.0,0.0,0.0,0.0,,0,1
ussa,USSA,0.0,24.0,24.0,0.0,0.0,0.0,,0,1
vermelho russo,Vermelho Russo,0.0,10.0,6.0,0.0,0.0,0.0,,0,1
waste land,Waste Land,0.0,15.0,5.0,0.0,0.0,0.0,,0,1
we are blood,We Are Blood,0.0,113.0,27.0,0.0,0.0,0.0,,0,1
we could be heroes,We Could Be Heroes,0.0,48.0,28.0,0.0,0.0,0.0,,0,1
when you look beneath the skin,When You Look Beneath the Skin,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
window boy would also like to have a submarine,Window Boy Would Also Like to Have a Submarine,0.0,2.0,2.0,0.0,0.0,0.0,,0,1
yvone kane,Yvone Kane,0.0,1.0,1.0,0.0,1.0,0.0,,0,2
zaatari memories of the labyrinth,Zaatari Memories of the Labyrinth,0.0,3.0,3.0,0.0,0.0,0.0,,0,1
zama,Zama,0.0,32.0,11.0,0.0,1.0,0.0,,0,2
zentralflughafen thf,Zentralflughafen THF,0.0,10.0,4.0,0.0,0.0,0.0,,0,1
a alma quer voar,A ALMA QUER VOAR,0.0,0.0,0.0,6.0,0.0,0.0,B2100203300000,0,1
a colecao invisivel,A COLEÇÃO INVISIVEL,0.0,0.0,0.0,10.0,0.0,0.0,,0,1
a historia da eternidade,A HISTORIA DA ETERNIDADE,0.0,0.0,0.0,11.0,0.0,0.0,,0,1
a memoria que me contam,A MEMÓRIA QUE ME CONTAM,0.0,0.0,0.0,7.0,0.0,1.0,,0,2
a morte de j p cuenca,A MORTE DE J.P. CUENCA,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
a nacao que nao esperou por deus,A NAÇÃO QUE NÃO ESPEROU POR DEUS,0.0,0.0,0.0,4.0,0.0,1.0,,0,2
a oeste do fim do mundo,A OESTE DO FIM DO MUNDO,0.0,0.0,0.0,4.0,0.0,0.0,,0,1
a vida privada dos hipopotamos,A VIDA PRIVADA DOS HIPOPÓTAMOS,0.0,0.0,0.0,8.0,0.0,0.0,,0,1
a vizinhanca do tigre,A VIZINHANÇA DO TIGRE,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
amores urbanos,AMORES URBANOS,0.0,0.0,0.0,4.0,0.0,0.0,,0,1
aqui deste lugar,AQUI DESTE LUGAR,0.0,0.0,0.0,2.0,0.0,0.0,,0,1
betinho a esperanca equilibrista,BETINHO-A ESPERANÇA EQUILIBRISTA,0.0,0.0,0.0,4.0,0.0,0.0,,0,1
branco sai preto fica,BRANCO SAI PRETO FICA,0.0,0.0,0.0,18.0,0.0,0.0,,0,1
california,CALIFÓRNIA,0.0,0.0,0.0,5.0,0.0,0.0,,0,1
camisa treze cultural s s ltda o silencio no ceu,CAMISA TREZE CULTURAL S/S LTDA. O SILÊNCIO NO CÉU,0.0,0.0,0.0,6.0,0.0,0.0,,0,1
campo grande,CAMPO GRANDE,0.0,0.0,0.0,10.0,0.0,1.0,,0,2
casa redonda producoes culturais ltda espaco alem marina abramovic e o brasil,CASA REDONDA PRODUÇÕES CULTURAIS LTDA. ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
cassia,CÁSSIA,0.0,0.0,0.0,3.0,0.0,0.0,,0,1
chamada a cobrar,CHAMADA A COBRAR,0.0,0.0,0.0,2.0,0.0,0.0,,0,1
cinco vezes chico o velho e sua gente,CINCO VEZES CHICO - O VELHO E SUA GENTE,0.0,0.0,0.0,4.0,0.0,0.0,,0,1
colegas,COLEGAS,0.0,0.0,0.0,2.0,0.0,0.0,,0,1
cores,CORES,0.0,0.0,0.0,5.0,0.0,0.0,,0,1
depois da chuva,DEPOIS DA CHUVA,0.0,0.0,0.0,12.0,0.0,0.0,,0,1
educacao sentimental,EDUCAÇÃO SENTIMENTAL,0.0,0.0,0.0,4.0,0.0,0.0,,0,1
