cpb;titulo;ano;categoria;segmento_destinacao_inicial;investimento_total_deflac
B2300261300000;NA ESTRADA DO JIU JITSU 3ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);738384.5
B2200418100000;NA TERRA DOS BICHOS;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2200228100000;O FUTURO DO TRABALHO;2022;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);98705.79
B2200324900000;OPERAÇÃO FRONTEIRA BRASIL - 1ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);4901508.42
B2200087900000;OSWALDO MASSAINI - UMA PAIXÃO PELO CINEMA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3290193.0
B2200452100000;PAPAYA BULL - SEGUNDA TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2313293.79
B2200376500000;PERICIA LAB;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2081961.3
B2200304100000;QUEM SALVA QUEM?;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1973354.44
B2200157800000;RIOS VOADORES;2022;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);0.0
B2200343100000;SEM BLOQUEIO;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1562841.67
B2200166200000;SUBSOLO;2022;Renúncia — Art.3/3-A/39;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;219346.2
B2200370700000;TERRITÓRIO ANTÁRTICO;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);312222.85
B2200066200000;TUCA ESPECIAL DIA DAS BRUXAS - UMA NOITE ARREPIANTE -  ANIMAÇÃO;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);99638.01
B2200192800000;TUDO FÁCIL;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);862831.18
B2200372100000;UM DIA DE CHEF - 3° TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1597011.72
B2300040600000;UM DIA DE CHEF - 4º TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1644219.83
