cnpj_produtora;n_obras;n_estreadas;taxa_estreia;inv_fsa;inv_renuncia;inv_total;receita_ref;bilheteria_obs;retorno_dom_carteira;retorno_intl_medio;melhor_intl;n_sinal_intl;publico;ano_primeira;ano_ultima;so_fsa;so_renuncia;uf_obras;razao_social;uf;cluster;p1;pre2006
68696756000150;1;1;1.0;172632.06;696097.0;868729.06;224071.12;29163.96;0.25792980840309404;0.0;0.0;0;1467.0;2018;2018;False;False;RJ;DIÁLOGO COMUNICAÇÃO EIRELI;RJ;Pequeno Porte;1980;True
16729130000108;1;1;1.0;0.0;866640.6;866640.6;93800.98;7136.92;0.1082351553804426;0.0;0.0;0;0.0;2017;2017;False;True;SP;BOUTIQUE FILMES E PRODUÇÕES LTDA.;SP;Pequeno Porte;2014;False
71743496000131;1;1;1.0;0.0;861942.6;861942.6;77611.12;994.0;0.0900420979308831;0.0;0.0;0;0.0;2020;2020;False;True;SP;MARCELO MACHADO PRODUÇÕES ARTÍSTICAS LTDA - ME;SP;Pequeno Porte;1983;True
05966506000173;1;0;0.0;0.0;834369.18;834369.18;0.0;0.0;0.0;;0.0;0;0.0;2015;2015;False;True;CE;ANHAMUM PRODUÃÃES AUDIOVISUAIS LTDA;CE;Pequeno Porte;2009;False
00487854000144;1;1;1.0;0.0;830088.37;830088.37;531921.04;310644.88;0.640800496939862;0.0;0.0;0;0.0;2015;2015;False;True;PR;SIRINO E SILVESTRE LTDA-ME;PR;Pequeno Porte;1994;True
07966825000104;1;0;0.0;0.0;813736.25;813736.25;0.0;0.0;0.0;;0.0;0;0.0;2014;2014;False;True;RJ;BOOK FILMES PRODUÃÃES LTDA.;RJ;Pequeno Porte;2014;False
66708900000104;1;1;1.0;0.0;804626.48;804626.48;122863.16;17911.88;0.15269589437325007;0.0;0.0;0;0.0;2014;2014;False;True;SP;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;SP;Pequeno Porte;1999;True
29185956000197;1;1;1.0;722200.5;72220.05;794420.55;101733.1;15069.04;0.12805950198544083;0.0;0.0;0;758.0;2017;2017;False;False;RJ;M D PRODUÃÃES ARTÃSTICAS LTDA;RJ;Pequeno Porte;2017;False
67619171000174;1;1;1.0;0.0;790272.0;790272.0;469489.72000000003;26937.4;0.5940862386621315;0.0;0.0;0;0.0;2015;2015;False;True;SP;PALEOTEVE PRODUCAO CULTURAL EIRELI ­ EPP;SP;Pequeno Porte;2000;True
81183527000109;1;1;1.0;785549.73;0.0;785549.73;137119.5;50455.44;0.17455228455110028;0.0;0.0;0;2538.0;2017;2017;True;False;PR;MAQUINA FILMES LTDA - ME.;PR;Pequeno Porte;1989;True
03039811000194;1;0;0.0;0.0;778898.36;778898.36;0.0;0.0;0.0;;0.0;0;0.0;2022;2022;False;True;SP;CASA JABUTICABA DE CINEMA E TEATRO LTDA;SP;Pequeno Porte;2022;False
