p;L
8.202247191011237115e-01;4.340097744727198226e-01
8.224719101123596499e-01;4.377410818538132742e-01
8.247191011235955882e-01;4.414723892349067258e-01
8.269662921348315265e-01;4.452207335033715463e-01
8.292134831460674649e-01;4.490106140505612520e-01
8.314606741573034032e-01;4.528169801040433651e-01
8.337078651685394526e-01;4.566327211188913049e-01
8.359550561797753909e-01;4.604593460449574738e-01
8.382022471910113293e-01;4.643235011738041651e-01
8.404494382022472676e-01;4.681947318446437190e-01
8.426966292134832059e-01;4.720659625154833283e-01
8.449438202247191443e-01;4.760460237219830693e-01
8.471910112359550826e-01;4.800800484994440231e-01
8.494382022471911320e-01;4.841263643900398095e-01
8.516853932584270703e-01;4.881991781447496126e-01
8.539325842696630087e-01;4.923563594671864774e-01
8.561797752808989470e-01;4.965299810279562576e-01
8.584269662921348854e-01;5.007260875692807200e-01
8.606741573033708237e-01;5.049230194490512691e-01
8.629213483146067620e-01;5.091352684625567449e-01
8.651685393258428114e-01;5.134449250303089185e-01
8.674157303370787497e-01;5.177596193314288886e-01
8.696629213483146881e-01;5.221624912312025080e-01
8.719101123595506264e-01;5.265676251352684467e-01
8.741573033707865648e-01;5.311339206673728608e-01
8.764044943820225031e-01;5.357835918387362506e-01
8.786516853932585525e-01;5.404477260651030512e-01
8.808988764044944908e-01;5.451128508798562811e-01
8.831460674157304291e-01;5.498846294551731351e-01
8.853932584269663675e-01;5.547103283882836022e-01
8.876404494382023058e-01;5.595507238990331533e-01
8.898876404494382442e-01;5.644159273594124837e-01
8.921348314606741825e-01;5.693276772083338821e-01
8.943820224719102319e-01;5.742698127217036319e-01
8.966292134831461702e-01;5.792346346120383904e-01
8.988764044943821085e-01;5.842521942648756239e-01
9.011235955056180469e-01;5.893403147041762491e-01
9.033707865168539852e-01;5.944811440942230352e-01
9.056179775280899236e-01;5.996449974188792220e-01
9.078651685393259729e-01;6.050165861335179418e-01
9.101123595505619113e-01;6.104778350149213662e-01
9.123595505617978496e-01;6.159436355909967409e-01
9.146067415730337880e-01;6.214846270519205351e-01
9.168539325842697263e-01;6.270488722089266886e-01
9.191011235955056646e-01;6.328838599932465891e-01
9.213483146067416030e-01;6.387576068888614067e-01
9.235955056179776523e-01;6.448754432054063512e-01
9.258426966292135907e-01;6.510466829834348212e-01
9.280898876404495290e-01;6.572882994207023266e-01
9.303370786516854674e-01;6.635424279416417548e-01
9.325842696629214057e-01;6.701799530304972663e-01
9.348314606741573440e-01;6.769264771658186630e-01
9.370786516853933934e-01;6.836806202194571913e-01
9.393258426966293317e-01;6.905597252118620410e-01
9.415730337078652701e-01;6.982043258730050717e-01
9.438202247191012084e-01;7.059273347943281207e-01
9.460674157303371468e-01;7.137914246304997157e-01
9.483146067415730851e-01;7.220776832786827137e-01
9.505617977528090234e-01;7.303865842866142932e-01
9.528089887640450728e-01;7.391384923679277241e-01
9.550561797752810111e-01;7.478983041885209904e-01
9.573033707865169495e-01;7.566599077876747792e-01
9.595505617977528878e-01;7.656051113873805214e-01
9.617977528089888262e-01;7.746745027249239968e-01
9.640449438202247645e-01;7.839349719600732236e-01
9.662921348314608139e-01;7.940083851989520047e-01
9.685393258426967522e-01;8.041595754837985721e-01
9.707865168539326906e-01;8.146822274707430367e-01
9.730337078651686289e-01;8.255896973519812887e-01
9.752808988764045672e-01;8.367495416020011012e-01
9.775280898876405056e-01;8.480506014450794883e-01
9.797752808988764439e-01;8.594848598692979014e-01
9.820224719101124933e-01;8.715002935427189623e-01
9.842696629213484316e-01;8.852144406051793979e-01
9.865168539325843700e-01;8.992863496788691124e-01
9.887640449438203083e-01;9.135899085435670308e-01
9.910112359550562466e-01;9.293849482238402127e-01
9.932584269662921850e-01;9.452543269705013795e-01
9.955056179775281233e-01;9.620732489826716582e-01
9.977528089887641727e-01;9.798307668560618522e-01
1.000000000000000000e+00;1.000000000000000000e+00
